,identifier,principal_component_1,principal_component_2,iso_forest_scores,iso_forest_outliers
2846,21515,-0.3979619699464077,-0.4401968355582077,0.22690956945919066,No
2847,21540,1.863723036894015,1.169966194586096,0.06437614780285006,No
2848,21540,2.4647791909106083,2.5374307702914045,-0.016115144885445742,Yes
2849,21540,2.3901675493694863,2.2110537455737505,-2.4614001018830045e-05,Yes
2850,21540,2.291145318068086,1.881682832080754,0.013392387453486587,No
2851,21601,3.8921877968330434,-0.9540932201068663,0.015962098537203095,No
2852,21601,3.756508603375081,-0.9684948386083351,0.0274485948597587,No
2853,21628,-0.5533947097635675,0.3315130665377279,0.17698726856727925,No
2854,21628,-0.9214157779220237,0.2547933537103963,0.17915916761735617,No
2855,21628,-1.0573148874709632,0.4096002394956928,0.16060949860482904,No
2856,21628,-0.6449110264126598,0.5842387045434595,0.15619052507000886,No
2857,21739,-0.9796502075377054,-0.11955870416198708,0.21098662478657165,No
2858,21739,-1.0068906226544514,-0.042756723483739635,0.20065330679735965,No
2859,21739,-1.1354117597755062,-0.3663486991882285,0.22557119238567536,No
2860,21739,-0.5471312017585134,-0.36641789165508754,0.22577297718894102,No
2861,21743,-0.5577765728448446,-0.306231584040511,0.22404770819988196,No
2862,21743,-1.2559922986313918,-0.20278517387906608,0.2115099681215603,No
2863,21743,-0.909329759978493,-0.2625839557624672,0.22513508807202592,No
2864,21743,-0.49553429089487744,-0.26632266913413094,0.2232104576290913,No
2865,21761,-1.234372200536735,-0.23821769108461774,0.21141699276954146,No
2866,21761,-1.47487178567729,-0.2225423128058469,0.19209225278692055,No
2867,21761,-1.0915212531772105,-0.5719371108047202,0.22895792376675572,No
2868,21761,-0.4142732787506949,-0.7798654316605046,0.21786884879802043,No
2869,21777,-0.8734935345847735,-0.17836889186641616,0.22325832172792442,No
2870,21777,-0.8643510208171352,-0.24866071339714482,0.22713716864774286,No
2871,21777,-0.9775777895897649,-0.33021292501448446,0.227876625559853,No
2872,21777,-0.40063617908165616,-0.5533602090345536,0.22816175632874025,No
2873,21798,1.9348268315880421,-0.6963342377156904,0.15051152413507818,No
2874,21798,1.0775612456305577,-0.6065252643779163,0.1811484764023366,No
2875,21798,1.2315730015316397,-0.4503477694696794,0.17528803466116694,No
2876,21798,1.8117072385185624,-0.4355410253958428,0.16189548094439965,No
2877,21808,-0.11347540104930129,-0.6644457712748321,0.21699416640217117,No
2878,21808,0.7342004335503933,-0.6048783487391663,0.18853296469646308,No
2879,21808,0.3011350457233099,-0.742331987022981,0.20625610007176742,No
2880,21808,-0.36445803469405,-0.7724757642069536,0.21463389602494087,No
2881,21833,-0.9465664738336503,-0.7859455484053867,0.2201190793804897,No
2882,21833,-0.4499474240016718,-0.7899123916916929,0.21682165510791113,No
2883,21841,3.367346429848609,-0.6388456644209807,0.09517970180370272,No
2884,21841,2.904400222488228,-0.4593042586521397,0.12534932757363215,No
2885,21841,3.582968658239211,0.29289430079455425,0.05181111233224134,No
2886,21841,3.3592271169727184,1.3541069921187772,-0.005578687171845953,Yes
2887,21847,2.6590856599295085,1.2445323931854413,0.027485014126074403,No
2888,21847,2.562276704249981,1.838588360984292,0.0055571727720969966,No
2889,21847,2.5545390193537587,0.4048687111321961,0.09532442765205718,No
2890,21847,2.9522617493546113,0.7568736750921576,0.05975095586814583,No
2891,21898,-2.050118394114561,3.5226817696466526,-0.03173901193202533,Yes
2892,21898,-0.6207230186303484,2.3610531146827323,0.08351670301241787,No
2893,21898,-0.7623058847928709,2.2942610833781885,0.08007033529315821,No
2894,21898,-0.13882129478429242,2.235431545206266,0.06894626046281227,No
2895,21901,2.441566164807203,-1.0662828473252732,0.07016882894916288,No
2896,21901,2.8293260947389807,-1.0337799009985436,0.07277506114587684,No
2897,21901,2.9921048324745594,-1.182474976301812,0.04028346389668036,No
2898,21901,2.6019568390208314,-1.1443485562947118,0.04402550304968034,No
2899,21916,3.0947068947573038,-0.790279519891827,0.09590009140786537,No
2900,21916,2.9560097146044257,-0.8793721075673778,0.0917276938720466,No
2901,21916,2.8973051575563384,-0.7951478103738493,0.10523243174036889,No
2902,21916,2.840603176002306,-0.5916646635978283,0.12657671579601298,No
2903,21983,0.036667484988033204,2.665326477474545,0.056217413324835985,No
2904,21983,-0.0791010490800666,2.5880243942307595,0.05638945791802852,No
2905,21983,2.792827048822419,3.609816898888857,-0.04495349995444353,Yes
2906,21983,0.6232901743320881,3.994214951681158,-0.0012890263714794292,Yes
2907,22000,3.0220445731404957,-0.025892666849237224,0.11505218086950969,No
2908,22000,2.8160744935102042,0.1915108686789544,0.10863195222886679,No
2909,22000,2.8328168674639316,0.2500976221668742,0.1084853063036878,No
2910,22000,2.6488046123937172,-0.1402523483245144,0.12669207186981368,No
